state,x,y
Alabama,243.0,-120.0
Alaska,-378.0,-210.0
Arizona,-270.0,-66.0
Arkansas,116.0,-78.0
California,-409.0,19.0
Colorado,-127.0,36.0
Connecticut,474.0,144.0
Delaware,438.0,67.0
Florida,366.0,-225.0
Georgia,308.0,-110.0
Hawaii,-178.0,-261.0
Idaho,-276.0,178.0
Illinois,179.0,61.0
Indiana,235.0,61.0
Iowa,90.0,103.0
Kansas,2.0,9.0
Kentucky,268.0,5.0
Louisiana,133.0,-182.0
Maine,508.0,247.0
Maryland,426.0,54.0
Massachusetts,475.0,163.0
Michigan,248.0,156.0
Minnesota,78.0,206.0
Mississippi,178.0,-122.0
Missouri,112.0,12.0
Montana,-184.0,246.0
Nebraska,-20.0,99.0
Nevada,-336.0,83.0
New Hampshire,479.0,196.0
New Jersey,450.0,90.0
New Mexico,-159.0,-75.0
New York,413.0,164.0
North Carolina,377.0,-28.0
North Dakota,-28.0,238.0
Ohio,291.0,76.0
Oklahoma,20.0,-63.0
Oregon,-391.0,203.0
Pennsylvania,384.0,105.0
Rhode Island,495.0,150.0
South Carolina,355.0,-77.0
South Dakota,-25.0,164.0
Tennessee,236.0,-40.0
Texas,-12.0,-147.0
Utah,-246.0,55.0
Vermont,455.0,202.0
Virginia,389.0,20.0
Washington,-354.0,283.0
West Virginia,340.0,40.0
Wisconsin,157.0,169.0
Wyoming,-158.0,145.0
